Source,Target,Weight
hypertensive disease,shortness of breath,3363
hypertensive disease,dizziness,3363
hypertensive disease,pain chest,3363
hypertensive disease,sweat,3363
hypertensive disease,sweating increased,3363
hypertensive disease,syncope,3363
hypertensive disease,vertigo,3363
hypertensive disease,palpitation,3363
hypertensive disease,nausea,3363
hypertensive disease,pressure chest,3363
hypertensive disease,angina pectoris,3363
hypertensive disease,fall,3363
hypertensive disease,asthenia,3363
hypertensive disease,abscess bacterial,2100
diabetes,rale,1772
hypertensive disease,feeling suicidal,1689
hypertensive disease,hyponatremia,1634
hypertensive disease,fever,1586
diabetes,pain chest,1560
depression mental,headache,1511
diabetes,hyponatremia,1500
depressive disorder,nausea,1448
diabetes,palpitation,1431
diabetes,shortness of breath,1421
diabetes,orthopnea,1421
diabetes,sweating increased,1421
diabetes,sweat,1421
diabetes,labored breathing,1421
diabetes,polyuria,1421
diabetes,polydypsia,1421
diabetes,nausea,1421
diabetes,asthenia,1421
diabetes,unresponsiveness,1421
diabetes,mental status changes,1421
diabetes,vomiting,1421
diabetes,vertigo,1421
diabetes,intoxication,1415
depression mental,shortness of breath,1389
depressive disorder,feeling hopeless,1358
depression mental,weepiness,1337
depression mental,difficulty,1337
depressive disorder,verbal auditory hallucinations,1337
depressive disorder,intoxication,1337
depressive disorder,tremor,1337
depressive disorder,agitation,1337
depressive disorder,worry,1337
depression mental,sleeplessness,1337
depression mental,irritable mood,1337
depressive disorder,energy increased,1337
depressive disorder,nightmare,1337
depressive disorder,hallucinations visual,1337
depressive disorder,unable to concentrate,1337
depression mental,blackout,1337
depressive disorder,homelessness,1337
depression mental,worry,1337
depression mental,agitation,1337
depression mental,tremor,1337
depression mental,intoxication,1337
depression mental,verbal auditory hallucinations,1337
depressive disorder,hallucinations auditory,1337
depressive disorder,motor retardation,1337
depressive disorder,irritable mood,1337
depressive disorder,blackout,1337
depressive disorder,mood depressed,1337
depressive disorder,difficulty,1337
depression mental,mood depressed,1337
depression mental,feeling suicidal,1337
depression mental,hallucinations visual,1337
depressive disorder,weepiness,1337
depression mental,motor retardation,1337
depressive disorder,sleeplessness,1337
depression mental,feeling hopeless,1337
depressive disorder,suicidal,1337
depressive disorder,feeling suicidal,1337
depression mental,homelessness,1337
depression mental,unable to concentrate,1337
depression mental,energy increased,1337
depression mental,nightmare,1337
depression mental,suicidal,1337
depression mental,hallucinations auditory,1337
coronary heart disease,sweat,1284
coronary heart disease,hypokinesia,1284
coronary heart disease,dyspnea on exertion,1284
coronary heart disease,chest tightness,1284
coronary heart disease,pain chest,1284
coronary arteriosclerosis,shortness of breath,1284
coronary arteriosclerosis,sweating increased,1284
coronary arteriosclerosis,angina pectoris,1284
coronary arteriosclerosis,hypokinesia,1284
coronary arteriosclerosis,sweat,1284
coronary arteriosclerosis,pressure chest,1284
coronary arteriosclerosis,pain chest,1284
coronary heart disease,angina pectoris,1284
coronary arteriosclerosis,chest tightness,1284
coronary arteriosclerosis,orthopnea,1284
coronary arteriosclerosis,dyspnea on exertion,1284
coronary heart disease,sweating increased,1284
coronary heart disease,shortness of breath,1284
coronary heart disease,pressure chest,1284
coronary heart disease,orthopnea,1284
coronary heart disease,gurgle,1232
diabetes,speech slurred,1225
diabetes,fever,1211
coronary arteriosclerosis,metastatic lesion,1185
hypertensive disease,distress respiratory,1176
coronary arteriosclerosis,asthenia,1163
hypertensive disease,pleuritic pain,1154
depressive disorder,unresponsiveness,1059
depressive disorder,bleeding of vagina,1047
depressive disorder,pain chest,1036
depression mental,unresponsiveness,1033
pneumonia,shortness of breath,1029
pneumonia,night sweat,1029
pneumonia,malaise,1029
pneumonia,fever,1029
pneumonia,cough,1029
pneumonia,tachypnea,1029
pneumonia,distress respiratory,1029
pneumonia,wheezing,1029
pneumonia,haemoptysis,1029
pneumonia,rhonchus,1029
pneumonia,chill,1029
pneumonia,yellow sputum,1029
pneumonia,pleuritic pain,1029
pneumonia,green sputum,1029
pneumonia,breath sounds decreased,1029
pneumonia,non-productive cough,1029
pneumonia,productive cough,1029
pneumonia,rale,1029
pneumonia,decreased translucency,1029
depressive disorder,shortness of breath,1026
infection urinary tract,hyponatremia,1023
accidentÂ cerebrovascular,moody,986
coronary heart disease,dysarthria,980
hypercholesterolemia,polyuria,968
failure heart congestive,shortness of breath,963
failure heart congestive,jugular venous distention,963
failure heart congestive,cough,963
failure heart congestive,dyspnea,963
failure heart congestive,orthopnea,963
failure heart congestive,wheezing,963
failure heart congestive,rale,963
diabetes,lung nodule,962
myocardial infarction,shortness of breath,953
failure heart congestive,thicken,949
asthma,productive cough,948
myocardial infarction,tachypnea,947
depression mental,sweat,942
pneumonia,drowsiness,941
pneumonia,heme positive,940
asthma,fever,934
depressive disorder,orthopnea,932
accidentÂ cerebrovascular,unable to concentrate,928
insufficiency renal,weepiness,922
coronary heart disease,night sweat,918
coronary heart disease,anorexia,915
hypercholesterolemia,irritable mood,915
depression mental,rale,910
asthma,blackout,908
depressive disorder,night sweat,908
depression mental,poor dentition,907
diabetes,sleepy,906
coronary arteriosclerosis,wheezing,905
depression mental,nausea and vomiting,895
accidentÂ cerebrovascular,tremor,893
accidentÂ cerebrovascular,numbness,885
accidentÂ cerebrovascular,seizure,885
accidentÂ cerebrovascular,unresponsiveness,885
accidentÂ cerebrovascular,asthenia,885
accidentÂ cerebrovascular,speech slurred,885
accidentÂ cerebrovascular,hemiplegia,885
accidentÂ cerebrovascular,dysarthria,885
accidentÂ cerebrovascular,facial paresis,885
hypercholesterolemia,syncope,884
hypercholesterolemia,diarrhea,876
depression mental,chest tightness,875
infection,anorexia,868
anxiety state,syncope,866
coronary heart disease,nausea,862
asthma,hypotension,860
myocardial infarction,motor retardation,859
depression mental,sleepy,856
coronary arteriosclerosis,stiffness,856
infection,non-productive cough,856
pneumonia,pain,839
asthma,chest tightness,837
asthma,shortness of breath,835
asthma,cough,835
asthma,non-productive cough,835
asthma,pleuritic pain,835
coronary arteriosclerosis,tumor cell invasion,835
asthma,symptom aggravating factors,835
asthma,distress respiratory,835
gastroesophageal reflux disease,haemoptysis,835
asthma,wheezing,835
depressive disorder,enuresis,834
infection,asthenia,828
pneumonia,lesion,826
septicemia,dyspnea,823
depression mental,haemorrhage,819
failure heart congestive,haemoptysis,809
coronary heart disease,sleeplessness,808
coronary heart disease,rale,807
primary malignant neoplasm,cough,801
confusion,distress respiratory,800
accidentÂ cerebrovascular,ache,795
coronary arteriosclerosis,vomiting,795
failure heart congestive,pruritus,794
confusion,weight gain,792
pneumonia,nausea,791
infection urinary tract,hallucinations visual,791
coronary heart disease,drowsiness,790
depression mental,night sweat,789
coronary arteriosclerosis,hemiplegia,787
anemia,shortness of breath,781
asthma,agitation,779
depressive disorder,haemoptysis,779
asthma,nausea,779
infection urinary tract,patient non compliance,778
accidentÂ cerebrovascular,feeling suicidal,776
myocardial infarction,diarrhea,770
insufficiency renal,feeling suicidal,760
infection urinary tract,labored breathing,760
myocardial infarction,pain chest,759
myocardial infarction,st segment elevation,759
myocardial infarction,chest discomfort,759
myocardial infarction,st segment depression,759
myocardial infarction,hypokinesia,759
myocardial infarction,angina pectoris,759
myocardial infarction,pressure chest,759
myocardial infarction,t wave inverted,759
myocardial infarction,orthopnea,759
myocardial infarction,rale,759
myocardial infarction,chest tightness,759
myocardial infarction,presence of q wave,759
myocardial infarction,bradycardia,759
myocardial infarction,palpitation,759
myocardial infarction,sweat,759
myocardial infarction,syncope,759
myocardial infarction,dyspnea,759
myocardial infarction,sweating increased,759
depressive disorder,syncope,758
depression mental,facial paresis,748
depressive disorder,asthenia,747
depression mental,chill,747
depression mental,angina pectoris,746
insufficiency renal,hyperkalemia,744
anemia,pain abdominal,741
dementia,pain chest,730
hiv infections,facial paresis,729
infection urinary tract,decreased body weight,728
hiv infections,cushingoid facies,728
infection,cushingoid facies,726
hypercholesterolemia,hallucinations auditory,725
pneumonia,feeling suicidal,722
failure heart congestive,palpitation,719
dementia,feeling suicidal,718
diabetes,cough,714
depression mental,seizure,712
acquiredÂ immuno-deficiency syndrome,feeling suicidal,712
depression mental,hemianopsia homonymous,710
infection urinary tract,nausea,708
coronary heart disease,scratch marks,707
anemia,transaminitis,707
anxiety state,shortness of breath,707
confusion,feeling suicidal,705
systemic infection,focal seizures,705
anxiety state,sweating increased,704
depressive disorder,pain,701
degenerativeÂ polyarthritis,urge incontinence,700
chronic obstructive airway disease,intoxication,697
infection urinary tract,irritable mood,695
hypercholesterolemia,sweat,685
hypercholesterolemia,t wave inverted,685
hypercholesterolemia,worry,685
hypercholesterolemia,nonsmoker,685
hypercholesterolemia,dyspnea,685
hypercholesterolemia,st segment depression,685
hypercholesterolemia,shortness of breath,685
hypercholesterolemia,chest discomfort,685
hypercholesterolemia,bradycardia,685
hypercholesterolemia,sweating increased,685
hypercholesterolemia,numbness,685
hypercholesterolemia,pain chest,685
hypercholesterolemia,pain,685
hypercholesterolemia,pressure chest,685
chronic obstructive airway disease,pain chest,682
hypercholesterolemia,sleeplessness,682
malignant neoplasms,shortness of breath,680
cellulitis,polyuria,680
insufficiency renal,redness,678
hiv infections,asthenia,678
pneumonia,pruritus,676
chronic obstructive airway disease,vomiting,674
dementia,nervousness,673
coronary heart disease,diarrhea,673
asthma,vomiting,671
primary malignant neoplasm,intoxication,670
infection urinary tract,pain chest,669
chronic obstructive airway disease,drowsiness,668
confusion,haemorrhage,666
cardiomyopathy,hypotension,663
HIV,clonus,663
myocardial infarction,asthenia,662
anemia,energy increased,662
asthma,polydypsia,662
anemia,mental status changes,661
hypercholesterolemia,palpitation,660
pneumonia,hematuria,660
dementia,agitation,660
HIV,guaiac positive,660
infection urinary tract,decreased translucency,659
myocardial infarction,nausea,658
gastroesophageal reflux disease,asthenia,657
infection,productive cough,657
insufficiency renal,impaired cognition,656
carcinoma,decreased translucency,654
pneumonia,constipation,654
hypercholesterolemia,swelling,653
infection urinary tract,redness,651
coronary heart disease,breath sounds decreased,646
pneumonia,unsteady gait,645
carcinoma,palpitation,643
HIV,bradycardia,640
dementia,facial paresis,639
anemia,feeling suicidal,636
chronic kidney failure,chill,635
chronic obstructive airway disease,redness,634
infection,redness,633
infection,abscess bacterial,630
infection,swelling,630
infection,hepatosplenomegaly,630
infection,diarrhea,630
infection,pain,630
infection,cough,630
infection,erythema,630
infection,apyrexial,630
infection,decreased translucency,630
infection,fever,630
infection,pruritus,630
infection,chill,630
anemia,cachexia,628
hypercholesterolemia,hallucinations visual,628
asthma,hallucinations visual,624
insufficiency renal,muscle twitch,623
confusion,unresponsiveness,619
insufficiency renal,bradycardia,619
asthma,pain abdominal,618
hypothyroidism,retropulsion,616
degenerativeÂ polyarthritis,rhonchus,615
neoplasm,out of breath,614
chronic obstructive airway disease,feeling suicidal,613
bipolar disorder,tumor cell invasion,612
anxiety state,angina pectoris,611
hypercholesterolemia,unresponsiveness,611
primary malignant neoplasm,unhappy,609
insufficiency renal,stuffy nose,608
chronic obstructive airway disease,seizure,607
hypothyroidism,syncope,606
insufficiency renal,pain abdominal,606
coronary heart disease,difficulty passing urine,605
chronic obstructive airway disease,pain abdominal,604
hypothyroidism,pain chest,604
primary malignant neoplasm,mental status changes,601
hiv infections,jugular venous distention,600
myocardial infarction,drowsiness,598
infection urinary tract,asthenia,597
infection urinary tract,lethargy,597
infection urinary tract,hemodynamically stable,597
infection urinary tract,distress respiratory,597
infection urinary tract,difficulty passing urine,597
infection urinary tract,consciousness clear,597
infection urinary tract,mental status changes,597
infection urinary tract,fever,597
infection urinary tract,dysuria,597
infection urinary tract,hematuria,597
infection urinary tract,renal angle tenderness,597
insufficiency renal,diarrhea,596
chronic obstructive airway disease,chest discomfort,594
carcinoma,pain chest,593
acquiredÂ immuno-deficiency syndrome,leftÂ atrialÂ hypertrophy,593
coronary heart disease,breech presentation,592
anemia,distress respiratory,592
hiv infections,angina pectoris,591
neoplasm,hallucinations auditory,590
failure heart congestive,feeling hopeless,589
embolism pulmonary,fall,589
bipolar disorder,decreased translucency,588
anxiety state,green sputum,586
confusion,malaise,584
confusion,chill,584
insufficiency renal,shortness of breath,583
coronary arteriosclerosis,hypoxemia,583
gastroesophageal reflux disease,pain chest,580
chronic kidney failure,verbal auditory hallucinations,579
anxiety state,dizziness,579
myocardial infarction,Stahli's line,577
dementia,chest discomfort,577
anxiety state,dysarthria,577
dementia,gurgle,577
infection urinary tract,feeling hopeless,574
confusion,guaiac positive,574
confusion,hoarseness,573
anemia,hemianopsia homonymous,572
mitral valve insufficiency,pain chest,572
infection urinary tract,st segment depression,571
hypothyroidism,cough,570
degenerativeÂ polyarthritis,wheezing,570
primary malignant neoplasm,hematuria,569
infection urinary tract,dysarthria,569
coronary arteriosclerosis,numbness,568
myocardial infarction,cough,568
obesity,hydropneumothorax,567
dementia,nausea,567
dehydration,asthenia,566
chronic kidney failure,syncope,564
epilepsy,orthopnea,563
accidentÂ cerebrovascular,burning sensation,562
cellulitis,cough,561
ulcer peptic,asthenia,560
hiv infections,heavy legs,560
neoplasm,claudication,560
anxiety state,decreased body weight,559
hypercholesterolemia,nausea,558
insufficiency renal,flushing,558
confusion,extreme exhaustion,558
dementia,pain,557
cellulitis,frothy sputum,557
asthma,tachypnea,555
confusion,asterixis,554
anxiety state,swelling,554
malignant neoplasms,pain abdominal,553
chronic kidney failure,hypotension,552
hypothyroidism,guaiac positive,552
psychotic disorder,sweat,551
anemia,mass of body structure,550
dementia,hallucinations visual,549
obesity,tachypnea,547
primary malignant neoplasm,green sputum,546
anemia,hyponatremia,544
anemia,orthostasis,544
anemia,arthralgia,544
anemia,rhonchus,544
anemia,swelling,544
anemia,monoclonal,544
anemia,asthenia,544
anemia,pain,544
anemia,guaiac positive,544
anemia,chill,544
anemia,pallor,544
anemia,ecchymosis,544
anemia,heme positive,544
anemia,tumor cell invasion,544
anemia,haemorrhage,544
anemia,pain back,544
anemia,dizziness,544
anemia,fatigue,544
hypothyroidism,hemodynamically stable,543
exanthema,haemorrhage,543
infection,egophony,541
confusion,pruritus,540
carcinoma,urge incontinence,538
dementia,hydropneumothorax,537
septicemia,distress respiratory,537
septicemia,cushingoidÂ habitus,535
cirrhosis,sleeplessness,534
hypothyroidism,green sputum,534
hiv infections,macerated skin,533
systemic infection,sleeplessness,533
hyperlipidemia,leftÂ atrialÂ hypertrophy,533
dementia,palpitation,530
anxiety state,vomiting,528
insufficiency renal,qt interval prolonged,528
infection urinary tract,posturing,528
infection,monoclonal,526
confusion,sinus rhythm,526
embolism pulmonary,blackout,525
chronic obstructive airway disease,wheezing,524
chronic obstructive airway disease,dyspnea,524
chronic obstructive airway disease,cough,524
chronic obstructive airway disease,sputum purulent,524
chronic obstructive airway disease,hypercapnia,524
chronic obstructive airway disease,shortness of breath,524
